0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,January,February,,,,,,August,September,October,,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,ALL  EMPLOYEES -,IN THOUSANDS,,,,,,,,1970,"19,349","19,814","19,757","19,782","19,612","19,404","19,587","19,285","19,392","19,444","18,780","18,563","18,762"
1919,"10,659",,,,,MONTHLY  DATA  NOT AVAILABLE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,"18,572","18,507","18,451","18,409","18,412","18,498","18,692","18,416","18,639","18,827","18,708","18,699","18,605"
1920,10 658,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,"19,090","18,459","18,560","18,687","18,771","18,900","19,231","18,865","19,325","19,486","19,551","19,617","19,627"
,,,,,,,,,,,,,,,1973,"20,068","19,488","19,637","19,746","19,817","19,909","20,257","19,979","20,279","20,399","20,443","20,480","20,383"
1921,8  257,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,"20,046","20,085","19,997","19,987","20,043","20,095","20,378","20,096","20,310","20,374","20,174","19,799","19,209"
1922,9 170,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,'—',"18,573","18,165","18,037","18,000","18,071","18,255",,,,,,
1923,10^300,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,"9,671",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,WOMEN  EMPLOYEES  -,IN THOUSANDS,,,,,,
1925,"9,939",,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,"10,156",,,,,,,,,,,,,,1950,,"3,768",,,"3,757",,,"3,846",,,"4,291",,
1927,"1 0 ,0 0 1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,"9,947",,,,,,,,,,,,,,1951,,"4,237",,,"4,249",,,"4,194",,,"4,302",,
1929,"10,702",,,,,,,,,,,,,,1952,,"4,247",,,"4,231",,,"4,235",,,"4,631",,
1930,"9,562",,,,,,,,,,,,,,1953,,"4,655",,,"4,658",,,"4,644",,,"4,712",,
,,,,,,,,,,,,,,,1954,,"4,404",,,"4,207",,,"4,088",,,"4,307",,
1931,"8,170",,,,,,,,,,,,,,1955,,"4,238",,,"4,259",,,"4,237",,,"4,569",,
1932,"6,931",,,,,,,,,,,,,,1956,,"4,430",,,"4,373",,,"4,295",,,"4,609",,
1933,"7,397",,,,,,,,,,,,,,1957,,"4,394",,,"4,361",,,"4,295",,,"4,488",,
1934,"8,501",,,,,,,,,,,,,,1958,,"4,176",,,"3,981",,,"4,003",,,"4,250",,
1935,"9,069",,,,,,,,,,,,,,1959,"4,359","4,176","4,219","4,236","4,233","4,265","4,330","4,315","4,503","4,577","4,536","4,476","4,437"
