year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,40.5,39.4,39.5,39,38.1,37.6,39.3,39.2,39.7,40.8,39.5,39.1,37.3
1959,40.7,40.2,40.7,40,39.9,40.1,40.7,40.3,41.1,41.3,40.4,39.2,39.8
1960,40.9,39.6,40.1,39.5,39.5,38.8,40,39.7,41,40.9,38.9,39.3,38
1961,41.4,40.2,40.3,40.2,39.7,38.9,40,39.8,40.1,41.1,39.3,40,38.7
1962,41.8,40.4,40.9,40,40.8,40.5,40.7,40.4,42.7,41.2,40.1,40.4,39
1963,41.5,40.8,41.1,39.6,41.1,41.8,40.9,40.5,42.8,41.1,41,41,40
1964,41.4,40.5,41.4,39.9,41.6,42.8,41.2,40.7,43,40.5,41,40.7,41.1
1965,42,41.2,42,40.4,42.9,43.5,41.6,41.2,44.2,41.9,40.3,40.5,41
1966,43.3,41.4,42.1,40.4,42.8,43,41.5,41.3,42.8,42.2,39.8,41.5,40.7
1967,42.6,40.3,41.2,39.2,41,41.6,40.4,40.69,40.8,41.7,40.2,40.5,40.1
1968,42,40.6,41.4,39.5,41.5,42,40.6,40.7,43.1,41.5,40.1,40.5,40.8
1969,41.8,40.6,41.3,39.4,42.2,42.2,40.4,40.6,41.6,40.4,39.7,40.7,41.2
1970,41,39.9,40.3,38.9,40,40.6,39.2,39.8,40.3,40.5,38.7,39.9,39.9
1971,40.7,40.3,40.4,39.2,39.7,40.7,39.8,39.9,41.2,41.6,39.2,39.5,39.7
1972,41.6,40.8,41.3,40,41.6,42.2,40.5,40.6,43,42,39.7,39.6,40.8
1973,41.5,40.2,41.5,39.9,43.6,43.3,39.9,40.7,43.5,41.8,38.7,38.7,41.5
1974,40.5,39.9,40.7,39,42.4,42.1,39,40,40.6,41.7,38.3,38.1,41.3
