year,aircraft,electronics,ordnance,ship
1958,515.3,133.9,82.4,103.1
1959,476.2,160.9,98,97.1
1960,407.4,170,101.9,92
1961,351.7,176.7,110.6,96.3
1962,356.4,198.2,119.3,96.4
1963,358.2,192,115.2,97.4
1964,352.7,194,104.1,97.9
1965,339.2,232.6,96.1,108
1966,402.5,297.9,127.3,119.5
1967,489.5,280.1,174.1,114.8
1968,519.8,270.1,191.7,115.4
1969,485.6,276,181.8,115.7
1970,421.9,244.9,131.5,106.7
1971,321.7,215.5,95.8,104.7
1972,270,240.2,91.3,109.8
1973,287.3,284.3,92.1,114
1974,295.1,284.2,84.9,121.2
