year,aircraft,communication,electronics,ordnance,ship
1958,1.18,1.08,0.85,1.19,1.22
1959,1.2,1.09,0.84,1.17,1.24
1960,1.19,1.08,0.85,1.17,1.24
1961,1.19,1.09,0.86,1.19,1.26
1962,1.2,1.08,0.86,1.18,1.26
1963,1.2,1.08,0.85,1.19,1.27
1964,1.19,1.08,0.85,1.2,1.25
1965,1.2,1.08,0.85,1.2,1.21
1966,1.22,1.07,0.84,1.17,1.22
1967,1.22,1.08,0.85,1.12,1.22
1968,1.2,1.07,0.85,1.08,1.19
1969,1.21,1.08,0.84,1.07,1.19
1970,1.22,1.08,0.85,1.07,1.18
1971,1.21,1.06,0.84,1.07,1.15
1972,1.22,1.07,0.82,1.07,1.14
1973,1.23,1.07,0.8,1.07,1.13
1974,1.22,1.07,0.8,1.07,1.13
