year,aircraft,communication,electronics,ordnance,ship
1958,101.25,92.34,69.81,102.41,100.88
1959,106.63,97.82,74,106.14,106.23
1960,110.43,98.58,76.24,108.39,110.43
1961,114.68,102.72,80.4,113.03,117.2
1962,119.97,106.97,82,116.6,121.6
1963,122.43,107.33,82.76,120.42,127.92
1964,125.03,112.07,86.18,122.72,128.21
1965,131.88,116.47,89.28,131.15,127.98
1966,143.32,121.35,92.11,133.77,137.78
1967,146.97,126.18,94.08,132.61,139.32
1968,152.04,131.78,100.73,135.29,144.99
1969,161.35,143.24,105.2,138.17,155.07
1970,168.51,148.42,110.87,146.21,158
1971,175.82,153.52,117.21,158.5,162.74
1972,193.44,166.05,124.4,171.36,172.66
1973,207.92,177.02,130.07,181.83,178.41
1974,218.7,188.94,136.89,196.41,189.74
